Code,Expiry Date,P/C,Exercise,Bid,Offer,Last,Open Interest
NABYJ7,26/03/2020,Call,31.000,0.610,0.610,0.000,0
NABYK7,26/03/2020,Put,31.000,5.605,5.605,0.000,0
NABYB7,26/03/2020,Call,32.000,0.435,0.435,0.000,0
NABYC7,26/03/2020,Put,32.000,6.505,6.505,0.000,0
NABCT8,26/03/2020,Call,33.000,0.305,0.305,0.000,0
NABCU8,26/03/2020,Put,33.000,7.460,7.460,0.000,0
NABQU8,26/03/2020,Call,34.000,0.210,0.210,0.000,0
NABQV8,26/03/2020,Put,34.000,8.430,8.430,0.000,0
NABZM9,25/06/2020,Call,24.000,4.175,4.175,0.000,0
NABZN9,25/06/2020,Put,24.000,1.795,1.795,0.000,1
NABRP9,25/06/2020,Call,25.000,3.415,3.415,0.000,0
NABRQ9,25/06/2020,Put,25.000,2.295,2.295,0.000,0
NABKB9,25/06/2020,Call,26.000,2.785,2.785,0.000,0
NABKC9,25/06/2020,Put,26.000,2.845,2.845,0.000,0
NABKD9,25/06/2020,Call,27.000,2.290,2.290,0.000,0
NABKE9,25/06/2020,Put,27.000,3.435,3.435,0.000,0
NABKP9,25/06/2020,Call,28.000,1.905,1.905,0.000,0
NABKQ9,25/06/2020,Put,28.000,4.075,4.075,0.000,0
NABKR9,25/06/2020,Call,29.000,1.600,1.600,0.000,0
NABKS9,25/06/2020,Put,29.000,4.770,4.770,0.000,0
NABKJ9,25/06/2020,Call,30.000,1.330,1.330,0.000,"1,000"
NABKK9,25/06/2020,Put,30.000,5.520,5.520,0.000,77
NABKH9,25/06/2020,Call,31.000,1.120,1.120,0.000,100
NABKI9,25/06/2020,Put,31.000,6.320,6.320,0.000,0
NABKN9,25/06/2020,Call,32.000,0.930,0.930,0.000,0
NABKO9,25/06/2020,Put,32.000,7.170,7.170,0.000,0
NABKL9,25/06/2020,Call,33.000,0.775,0.775,0.000,20
NABKM9,25/06/2020,Put,33.000,8.060,8.060,0.000,0
NABK99,25/06/2020,Call,34.000,0.635,0.635,0.000,0
NABKA9,25/06/2020,Put,34.000,8.980,8.980,0.000,0
NABRX9,25/06/2020,Call,35.000,0.520,0.520,0.000,0
NABRY9,25/06/2020,Put,35.000,9.920,9.920,0.000,1
NABZK7,25/06/2020,Call,36.000,0.420,0.420,0.000,0
NABZL7,25/06/2020,Put,36.000,10.870,10.870,0.000,0
NABIV8,25/06/2020,Call,37.000,0.335,0.335,0.000,0
NABIW8,25/06/2020,Put,37.000,11.820,11.820,0.000,3
NABZO9,17/12/2020,Call,24.000,4.055,4.055,0.000,25
NABZP9,17/12/2020,Put,24.000,2.075,2.075,0.000,200
NABL29,17/12/2020,Call,25.000,3.310,3.310,0.000,0
NABL39,17/12/2020,Put,25.000,2.610,2.610,0.000,100
NABL49,17/12/2020,Call,26.000,2.715,2.715,0.000,0
NABL59,17/12/2020,Put,26.000,3.190,3.190,0.000,0
NABL69,17/12/2020,Call,27.000,2.245,2.245,0.000,0
NABL79,17/12/2020,Put,27.000,3.790,3.790,0.000,100
NABL89,17/12/2020,Call,28.000,1.865,1.865,0.000,250
NABL99,17/12/2020,Put,28.000,4.425,4.425,0.000,0
NABLA9,17/12/2020,Call,29.000,1.560,1.560,0.000,0
NABLB9,17/12/2020,Put,29.000,5.120,5.120,0.000,197
NABKX9,17/12/2020,Call,30.000,1.330,1.330,0.000,9
NABKY9,17/12/2020,Put,30.000,5.905,5.905,0.000,0
NABKZ9,17/12/2020,Call,31.000,1.140,1.140,0.000,0
NABL19,17/12/2020,Put,31.000,6.760,6.760,0.000,0
NABKV9,17/12/2020,Call,32.000,0.995,0.995,0.000,0
NABKW9,17/12/2020,Put,32.000,7.665,7.665,0.000,0
NABJR9,17/12/2020,Call,33.000,0.885,0.885,0.000,0
NABKU9,17/12/2020,Put,33.000,8.600,8.600,0.000,0
NABNZ9,17/12/2020,Call,34.000,0.785,0.785,0.000,10
NABP19,17/12/2020,Put,34.000,9.540,9.540,0.000,34
NC8BG7,28/06/2018,Call,0.010,21.175,21.175,0.000,0
NC8BH7,27/09/2018,Call,0.010,21.280,21.280,0.000,0
NC8BI7,20/12/2018,Call,0.010,21.385,21.385,0.000,0
NC8BJ7,28/03/2019,Call,0.010,21.495,21.495,0.000,0
NCMTR8,17/05/2018,Call,0.010,21.130,21.130,0.000,0
NCMUL8,17/05/2018,Call,15.500,5.640,5.640,0.000,0
NCMUM8,17/05/2018,Put,15.500,0.000,0.000,0.000,0
NCMU78,17/05/2018,Call,16.000,5.145,5.145,0.000,0
NCMU88,17/05/2018,Put,16.000,0.000,0.000,0.000,0
NCMUB8,17/05/2018,Call,16.500,4.645,4.645,0.000,0
NCMUC8,17/05/2018,Put,16.500,0.000,0.000,0.000,0
NCMU18,17/05/2018,Call,17.000,4.145,4.145,0.000,0
NCMU28,17/05/2018,Put,17.000,0.000,0.000,0.000,0
NCMUF8,17/05/2018,Call,17.500,3.645,3.645,0.000,0
NCMUG8,17/05/2018,Put,17.500,0.000,0.000,0.000,0
NCMUP8,17/05/2018,Call,18.000,3.145,3.145,0.000,0
NCMUQ8,17/05/2018,Put,18.000,0.000,0.000,0.000,0
NCMUH8,17/05/2018,Call,18.500,2.645,2.645,0.000,0
NCMUI8,17/05/2018,Put,18.500,0.000,0.000,0.000,0
NCMUN8,17/05/2018,Call,19.000,2.150,2.150,0.000,0
NCMUO8,17/05/2018,Put,19.000,0.000,0.000,0.000,0
NCMUJ8,17/05/2018,Call,19.500,1.650,1.650,0.000,0
NCMUK8,17/05/2018,Put,19.500,0.000,0.000,0.000,0
NCMTS8,17/05/2018,Call,20.000,1.155,1.155,0.000,100
NCMTT8,17/05/2018,Put,20.000,0.000,0.000,0.000,0
NCMTW8,17/05/2018,Call,20.500,0.680,0.680,0.000,50
NCMTX8,17/05/2018,Put,20.500,0.005,0.005,0.000,5
NCMTU8,17/05/2018,Call,21.000,0.265,0.265,0.000,0
NCMTV8,17/05/2018,Put,21.000,0.085,0.085,0.095,15
NCMTY8,17/05/2018,Call,21.500,0.040,0.040,0.000,300
NCMTZ8,17/05/2018,Put,21.500,0.390,0.390,0.000,200
NCMWD8,17/05/2018,Call,21.510,0.035,0.035,0.000,0
NCMWE8,17/05/2018,Put,21.510,0.400,0.400,0.000,0
NCMUR8,17/05/2018,Call,22.000,0.001,0.001,0.000,40
NCMUS8,17/05/2018,Put,22.000,0.860,0.860,0.000,10
NCMWF8,17/05/2018,Call,22.010,0.001,0.001,0.000,0
NCMWG8,17/05/2018,Put,22.010,0.870,0.870,0.000,0
NCMUZ8,17/05/2018,Call,22.500,0.000,0.000,0.000,179
NCMV18,17/05/2018,Put,22.500,1.360,1.360,0.000,0
NCMWH8,17/05/2018,Call,22.510,0.000,0.000,0.000,0
NCMWI8,17/05/2018,Put,22.510,1.370,1.370,0.000,0
NCMUT8,17/05/2018,Call,23.000,0.000,0.000,0.000,0
NCMUY8,17/05/2018,Put,23.000,1.860,1.860,0.000,0
NCMV28,17/05/2018,Call,23.500,0.000,0.000,0.000,0
NCMV38,17/05/2018,Put,23.500,2.360,2.360,0.000,0
NCMUD8,17/05/2018,Call,24.000,0.000,0.000,0.000,0
NCMUE8,17/05/2018,Put,24.000,2.860,2.860,0.000,0
NCMU38,17/05/2018,Call,24.500,0.000,0.000,0.000,0
NCMU48,17/05/2018,Put,24.500,3.360,3.360,0.000,0
NCMU98,17/05/2018,Call,25.000,0.000,0.000,0.000,0
NCMUA8,17/05/2018,Put,25.000,3.860,3.860,0.000,0
NCMU58,17/05/2018,Call,25.500,0.000,0.000,0.000,0
NCMU68,17/05/2018,Put,25.500,4.360,4.360,0.000,0
NCMVM8,17/05/2018,Call,26.000,0.000,0.000,0.000,0
NCMVN8,17/05/2018,Put,26.000,4.860,4.860,0.000,0
NCMVK8,17/05/2018,Call,26.500,0.000,0.000,0.000,0
NCMVL8,17/05/2018,Put,26.500,5.360,5.360,0.000,0
NCMWR8,17/05/2018,Call,27.000,0.000,0.000,0.000,0
NCMWS8,17/05/2018,Put,27.000,5.865,5.865,0.000,0
NCMN89,24/05/2018,Call,0.010,21.145,21.145,0.000,"1,000"
NCMD18,24/05/2018,Call,16.000,5.145,5.145,0.000,0
NCMD28,24/05/2018,Put,16.000,0.000,0.000,0.000,0
NCMZH7,24/05/2018,Call,16.500,4.650,4.650,0.000,0
NCMZI7,24/05/2018,Put,16.500,0.000,0.000,0.000,8
NCMWE7,24/05/2018,Call,17.000,4.150,4.150,0.000,0
NCMWF7,24/05/2018,Put,17.000,0.000,0.000,0.000,111
NCMWG7,24/05/2018,Call,17.500,3.650,3.650,0.000,0
NCMWH7,24/05/2018,Put,17.500,0.000,0.000,0.000,230
NCMVG9,24/05/2018,Call,18.000,3.155,3.155,0.000,30
NCMVH9,24/05/2018,Put,18.000,0.000,0.000,0.000,549
NCMTR9,24/05/2018,Call,18.500,2.660,2.660,0.000,0
NCMTS9,24/05/2018,Put,18.500,0.000,0.000,0.000,635
NCMTF9,24/05/2018,Call,19.000,2.170,2.170,0.000,10
NCMTG9,24/05/2018,Put,19.000,0.002,0.002,0.000,939
NCMSU7,24/05/2018,Call,19.010,2.160,2.160,0.000,0
NCMSV7,24/05/2018,Put,19.010,0.002,0.002,0.000,178
NCMRI9,24/05/2018,Call,19.500,1.685,1.685,0.000,94
NCMRJ9,24/05/2018,Put,19.500,0.008,0.008,0.000,"2,438"
NCMWI7,24/05/2018,Call,19.510,1.675,1.675,1.620,200
NCMWJ7,24/05/2018,Put,19.510,0.008,0.008,0.000,812
NCMMP9,24/05/2018,Call,20.000,1.215,1.215,1.160,"4,397"
NCMMQ9,24/05/2018,Put,20.000,0.030,0.030,0.000,"2,327"
NCMSW7,24/05/2018,Call,20.010,1.205,1.205,0.000,900
NCMSX7,24/05/2018,Put,20.010,0.030,0.030,0.000,350
NCMMF9,24/05/2018,Call,20.500,0.780,0.780,0.850,847
NCMMG9,24/05/2018,Put,20.500,0.090,0.090,0.095,848
NCMWK7,24/05/2018,Call,20.510,0.775,0.775,0.000,111
NCMWL7,24/05/2018,Put,20.510,0.095,0.095,0.000,856
NCMMZ9,24/05/2018,Call,21.000,0.425,0.425,0.350,"2,296"
NCMN19,24/05/2018,Put,21.000,0.235,0.235,0.230,"1,362"
NCMWM7,24/05/2018,Call,21.010,0.420,0.420,0.000,585
NCMWN7,24/05/2018,Put,21.010,0.240,0.240,0.000,"1,137"
NCMMJ9,24/05/2018,Call,21.500,0.185,0.185,0.140,"6,618"
NCMMK9,24/05/2018,Put,21.500,0.500,0.500,0.400,573
NCMSG7,24/05/2018,Call,21.510,0.185,0.185,0.000,603
NCMSH7,24/05/2018,Put,21.510,0.505,0.505,0.000,549
NCMN29,24/05/2018,Call,22.000,0.070,0.070,0.050,"2,968"
NCMN39,24/05/2018,Put,22.000,0.890,0.890,0.930,188
NCMSK7,24/05/2018,Call,22.010,0.065,0.065,0.000,130
NCMSL7,24/05/2018,Put,22.010,0.900,0.900,0.000,"1,880"
